a;b;c;d;gesamt;unter6;6-15;15-18;18-27;27-45;45-55;55-65;65undmehr;weiblich;Ausländer
02;10;01;04;5627;357;544;182;743;1625;793;708;675;2784;2121
02;10;01;05;9495;572;909;298;1149;2897;1267;1097;1306;4739;3280
02;10;01;06;4993;254;484;175;613;1468;685;663;651;2471;1622
02;20;02;07;2242;198;223;36;132;902;211;214;326;1114;532
02;20;02;08;5853;324;455;174;626;1957;787;814;716;2855;1643
02;20;02;09;10845;714;815;213;890;4008;1583;1376;1246;5298;2680
02;20;02;10;12225;702;808;249;1199;4587;1696;1644;1340;5928;3342
02;20;02;11;14689;818;895;312;1461;4907;2162;2328;1806;7297;3676
02;20;02;12;8537;547;755;224;832;2955;1206;1121;897;4242;2307
02;20;02;13;10142;535;708;202;866;3959;1429;1299;1144;5042;2966
02;30;03;14;7479;336;533;204;740;2454;1178;1076;958;3507;2738
02;30;03;15;8530;450;667;236;916;2888;1283;1171;919;4124;2892
02;30;03;16;4215;194;290;86;368;1508;612;582;575;2048;1248
02;30;04;17;8242;417;647;188;800;3192;1184;948;866;3934;2811
02;30;04;18;7653;406;516;137;650;2969;1215;967;793;3699;2282
02;30;04;19;10710;574;654;213;1097;4345;1580;1272;975;5107;3580
02;40;05;20;5673;317;387;119;458;1417;577;745;1653;2945;1209
02;40;05;21;7867;488;529;136;738;3079;842;790;1265;3990;1740
02;40;05;22;11223;772;747;164;882;4899;1430;996;1333;5616;2203
02;40;06;23;13383;877;846;247;1535;4807;1307;1267;2497;6712;4199
02;40;06;24;11459;553;679;182;1439;4750;1486;1091;1279;5400;2947
02;40;06;25;1093;43;98;33;130;635;73;55;26;497;653
02;50;07;26;9247;557;577;140;874;4804;1111;685;499;4348;2471
02;50;07;27;6586;447;430;110;605;3141;839;513;501;3177;1683
02;50;07;28;10036;675;708;191;886;5059;1405;711;401;4885;2394
02;50;07;29;5444;401;442;85;467;2601;727;402;319;2609;1233
02;50;08;30;3914;234;217;59;402;1929;542;295;236;1885;1105
02;50;08;31;7841;474;544;97;779;3907;996;632;412;3770;2175
02;50;08;32;9115;715;645;160;851;4906;1011;505;322;4320;2786
02;50;08;33;10186;606;484;113;989;5651;1300;704;339;4833;2971
02;50;08;34;11444;760;822;174;1168;5624;1667;761;468;5442;2848
02;50;08;35;7931;501;485;76;863;4092;835;543;536;3709;2330
02;50;08;36;4863;470;499;98;242;1790;742;471;551;2405;540
03;10;01;01;4592;377;449;85;343;1390;615;604;729;2174;520
03;10;01;02;3180;216;230;73;272;904;323;391;771;1622;669
03;10;01;03;8856;602;841;251;749;2074;916;1051;2372;4670;1204
03;20;02;04;2113;94;207;47;119;365;323;395;563;1035;105
03;20;02;05;8751;485;809;251;862;1941;1386;1325;1692;4578;827
03;20;02;06;6406;408;672;200;572;1585;1058;845;1066;3280;858
03;20;02;07;11427;708;1239;336;788;2900;1804;1682;1970;5837;1162
03;20;03;08;5193;278;554;148;385;1135;797;943;953;2643;297
03;20;03;09;5286;332;561;157;365;1197;783;892;999;2619;476
03;20;03;10;8018;541;797;270;579;1979;1082;1285;1485;4140;560
03;30;04;11;11592;991;1335;370;957;3189;1428;1472;1850;6042;1564
03;30;04;12;5137;269;415;120;299;958;712;1021;1343;2618;196
03;30;04;13;3092;139;327;93;201;546;482;606;698;1543;113
03;30;05;14;6860;337;682;204;405;1222;1028;1324;1658;3492;312
03;30;05;15;50;3;6;–;3;13;–;16;9;22;–
03;30;05;16;7982;462;697;197;698;1900;1113;1335;1580;3861;1217
03;30;05;17;1118;37;92;28;42;173;154;228;364;551;18
03;40;06;18;4854;308;500;173;433;1038;794;840;768;2445;368
03;40;06;19;10371;569;857;279;838;2393;1502;1612;2321;5388;1059
03;40;06;20;3545;164;381;120;281;671;613;529;786;1830;346
03;40;07;21;11607;842;1414;365;888;3664;2035;1173;1226;6004;1383
03;40;07;22;3610;202;392;146;235;719;612;490;814;1992;280
03;40;07;23;7067;566;734;165;567;2593;942;683;817;3600;971
03;40;07;24;7584;479;688;167;647;1929;1077;1006;1591;4128;614
03;40;07;25;7416;431;683;143;531;1710;884;1037;1997;4043;574
03;40;08;26;6789;430;650;145;558;2052;923;816;1215;3584;1063
03;40;08;27;9659;610;780;185;748;3487;1439;1043;1367;4945;1554
03;40;08;28;4818;293;308;73;383;1799;590;530;842;2449;871
03;40;08;29;5544;317;534;150;427;1568;733;726;1089;2910;625
03;40;08;30;9232;513;728;187;735;3019;1411;1226;1413;4888;942
03;40;08;31;–;–;–;–;–;–;–;–;–;–;–
03;50;09;32;5834;435;460;122;543;1683;720;790;1081;3034;1080
03;50;09;33;7632;417;709;193;571;2290;1061;931;1460;3964;863
03;50;09;34;10203;750;832;221;809;4200;1418;1024;949;4948;1931
03;50;09;35;6585;496;637;170;628;2466;975;670;543;3216;1200
03;50;09;36;9819;658;1102;299;795;3108;1526;1122;1209;5073;1432
03;50;10;37;8560;506;566;171;745;2612;995;1048;1917;4369;1231
03;50;10;38;7422;434;655;165;502;1868;940;1135;1723;3934;826
03;60;11;39;3751;238;247;56;379;1614;493;347;377;1844;889
03;60;11;40;5902;375;480;132;534;2598;993;448;342;2837;1241
03;60;11;41;6585;433;506;124;593;2862;1033;551;483;3315;1538
03;60;11;42;10748;654;904;214;961;4596;1952;897;570;5295;2698
03;60;12;43;6987;365;478;105;627;2990;1086;662;674;3495;1353
03;60;12;44;7546;413;509;121;662;2905;1279;784;873;3929;1340
03;60;12;45;12758;684;668;200;1151;5253;1591;1330;1881;6532;2448
03;60;13;46;5875;346;526;169;573;2238;1212;537;274;2908;1482
03;60;13;47;9376;604;903;238;768;3482;2018;963;400;4642;1949
03;60;13;48;7419;454;630;155;618;3094;1430;720;318;3756;1670
03;60;14;49;9890;394;551;161;691;2185;999;1177;3732;5345;1239
03;60;14;50;4116;409;416;102;450;1116;422;414;787;2021;1561
03;60;14;51;6296;366;483;102;544;2669;942;652;538;3161;1378
03;60;14;52;4412;283;270;65;444;1889;523;455;483;2205;1143
03;60;14;53;3017;286;498;128;156;1036;532;160;221;1498;529
